               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089972,            0.062988,             0.11282,           0.0035987,             0.24635,           0.0068575,            0.002681,            0.058875,            0.044174,             0.11154,            0.070221,           0.0033088,           0.0033088
                   1,            0.060922,            0.049625,             0.10781,           0.0051219,             0.33863,            0.015217,           0.0059217,             0.04976,            0.032587,             0.10781,            0.040155,           0.0065764,           0.0065764
                   2,             0.05485,            0.040464,             0.10515,            0.007581,             0.43331,            0.019357,           0.0093946,            0.037807,             0.02679,             0.10632,            0.010023,            0.009778,            0.009778
                   3,            0.048849,            0.037576,             0.10339,           0.0097685,             0.46834,            0.023672,            0.013369,            0.028091,            0.024916,             0.10481,            0.009703,            0.009703,            0.009703
                   4,            0.043073,            0.035539,              0.1022,            0.010923,             0.47682,            0.029196,            0.017826,              0.0299,            0.023802,             0.10361,            0.009703,            0.009703,            0.009703
                   5,            0.039224,            0.033488,             0.10052,            0.012821,             0.50925,            0.035298,            0.022727,            0.027329,            0.022317,             0.10273,            0.009604,            0.009604,            0.009604
                   6,            0.037548,            0.034014,            0.099666,            0.013551,             0.52917,            0.045508,            0.027419,            0.028164,            0.021967,             0.10153,            0.009505,            0.009505,            0.009505
                   7,            0.036105,            0.031898,            0.097747,             0.31114,             0.30919,            0.060188,            0.035834,            0.026355,            0.021161,             0.10043,            0.009406,            0.009406,            0.009406
                   8,            0.034446,            0.031208,            0.096025,             0.74154,             0.11598,            0.070126,            0.044135,            0.022927,            0.020864,            0.098481,            0.009307,            0.009307,            0.009307
                   9,            0.033679,            0.029491,            0.093282,              0.7442,             0.13044,            0.084375,            0.056396,            0.021441,            0.020567,            0.096259,            0.009208,            0.009208,            0.009208
                  10,            0.033246,            0.030504,            0.090844,             0.70514,             0.14052,            0.094411,             0.06209,            0.020754,            0.019207,            0.093871,            0.009109,            0.009109,            0.009109
                  11,            0.033449,            0.028989,            0.087781,             0.63681,             0.17985,             0.10782,            0.069865,            0.021338,            0.018881,            0.090676,             0.00901,             0.00901,             0.00901
                  12,            0.032245,            0.029953,            0.085375,             0.66672,             0.17905,             0.12374,            0.078476,            0.022606,            0.019323,            0.088122,            0.008911,            0.008911,            0.008911
                  13,            0.032464,            0.028804,             0.08199,             0.68935,             0.16565,             0.13912,            0.098598,            0.019673,            0.018692,             0.08623,            0.008812,            0.008812,            0.008812
                  14,            0.032046,            0.028238,            0.079096,             0.62016,             0.23918,             0.16466,             0.11253,            0.021095,            0.018768,            0.083495,            0.008713,            0.008713,            0.008713
                  15,            0.031812,             0.02939,            0.077204,             0.69632,             0.22269,             0.18971,             0.13016,            0.019141,            0.018331,            0.081122,            0.008614,            0.008614,            0.008614
                  16,            0.031158,            0.028679,             0.07503,             0.66603,             0.24792,             0.21001,             0.14942,            0.017778,            0.017776,            0.078352,            0.008515,            0.008515,            0.008515
                  17,            0.031052,            0.028453,            0.072374,             0.72332,             0.24205,             0.22784,             0.16698,            0.019092,            0.018133,            0.076421,            0.008416,            0.008416,            0.008416
                  18,            0.031226,             0.02922,            0.069976,             0.66544,             0.27048,             0.24961,             0.17733,             0.01889,            0.017853,            0.073848,            0.008317,            0.008317,            0.008317
                  19,            0.030562,            0.027221,             0.06729,             0.67157,             0.29363,             0.27254,             0.19316,             0.01891,            0.018089,            0.072046,            0.008218,            0.008218,            0.008218
                  20,             0.03079,            0.027746,            0.065306,             0.68247,             0.30681,             0.29926,             0.21566,            0.018919,            0.017982,            0.068828,            0.008119,            0.008119,            0.008119
                  21,            0.030876,            0.027645,             0.06309,              0.7279,             0.30018,             0.31635,             0.23157,            0.017816,            0.017319,            0.066953,             0.00802,             0.00802,             0.00802
                  22,            0.030053,            0.026616,            0.061836,             0.65893,               0.364,             0.34197,             0.24691,             0.01937,            0.017881,             0.06446,            0.007921,            0.007921,            0.007921
                  23,            0.029804,            0.027279,            0.058775,             0.69525,             0.36333,             0.37097,             0.27208,            0.018581,            0.017318,            0.062222,            0.007822,            0.007822,            0.007822
                  24,            0.030214,            0.026839,            0.056399,             0.72095,             0.36753,             0.39568,             0.28098,            0.019532,            0.017816,            0.060116,            0.007723,            0.007723,            0.007723
                  25,            0.029543,            0.025836,            0.054717,              0.7337,             0.36962,             0.42348,             0.30378,            0.018568,            0.017409,             0.05754,            0.007624,            0.007624,            0.007624
                  26,            0.029714,            0.027096,            0.052342,             0.69895,             0.41422,             0.44492,             0.33133,            0.018526,             0.01724,            0.055838,            0.007525,            0.007525,            0.007525
                  27,            0.030058,            0.027218,            0.051595,             0.73172,             0.42439,             0.46833,             0.34475,            0.018202,            0.017146,            0.053573,            0.007426,            0.007426,            0.007426
                  28,            0.029491,             0.02565,            0.048865,             0.69064,             0.43959,             0.47307,             0.34439,            0.019335,            0.017768,            0.052052,            0.007327,            0.007327,            0.007327
                  29,            0.030075,            0.026787,            0.048753,             0.71313,              0.4433,             0.50552,             0.38425,            0.017939,            0.017085,            0.049961,            0.007228,            0.007228,            0.007228
                  30,             0.03022,            0.026454,            0.046005,             0.62477,             0.49565,             0.52445,             0.39519,            0.018069,            0.017007,            0.048386,            0.007129,            0.007129,            0.007129
                  31,            0.029585,            0.025758,            0.044678,             0.66966,             0.50684,             0.54816,              0.4152,            0.018097,            0.017186,            0.046714,             0.00703,             0.00703,             0.00703
                  32,            0.029429,            0.025997,            0.042186,             0.65019,             0.52096,             0.56596,             0.43327,            0.018758,            0.017194,            0.045005,            0.006931,            0.006931,            0.006931
                  33,            0.029965,            0.025123,            0.041838,             0.65106,             0.53452,             0.58163,             0.43551,            0.017953,            0.016786,            0.043993,            0.006832,            0.006832,            0.006832
                  34,            0.029993,            0.026523,            0.040128,             0.63318,             0.55779,             0.60627,             0.46601,            0.017588,            0.016574,            0.041856,            0.006733,            0.006733,            0.006733
                  35,            0.029952,            0.025519,            0.038814,             0.66723,             0.55559,             0.60084,             0.45897,            0.017603,            0.016816,            0.040753,            0.006634,            0.006634,            0.006634
                  36,            0.028699,            0.024432,             0.03748,             0.58934,             0.62047,             0.62397,             0.47875,            0.017607,            0.016839,            0.039419,            0.006535,            0.006535,            0.006535
                  37,             0.02889,             0.02616,            0.036436,             0.57353,             0.66791,             0.64585,              0.5037,            0.017111,            0.016479,            0.038406,            0.006436,            0.006436,            0.006436
                  38,            0.028733,            0.025684,            0.035753,             0.58767,             0.67189,             0.67461,              0.5296,            0.016837,            0.016532,            0.036884,            0.006337,            0.006337,            0.006337
                  39,            0.028773,            0.025367,            0.033809,             0.60504,             0.68264,             0.68223,             0.53602,            0.017303,              0.0164,            0.035398,            0.006238,            0.006238,            0.006238
                  40,            0.029028,            0.026041,            0.032658,             0.66162,             0.69026,             0.71527,             0.55719,             0.01666,            0.016478,            0.034167,            0.006139,            0.006139,            0.006139
                  41,            0.028899,            0.026687,             0.03196,             0.66997,             0.64999,             0.72083,             0.56561,            0.016786,            0.016339,            0.033467,             0.00604,             0.00604,             0.00604
